id,category,difficulty,created_at_ms
c9cb8a26-e9d3-482d-afa3-db49ec11f2c8,Simulation,Expert,1729948525942
9543bcbd-d8e7-4bf7-9220-d08d302c3d25,Adventure,Hard,1719228986942
22108010-1764-4725-8127-aa11176d26f2,Puzzle,Medium,1724928426942
14bdf30f-d222-4c70-9d50-49a723ca96b0,Platform,Expert,1720466119942
1ea1cb4d-e8fd-468a-9f4e-a8a049ef601e,Puzzle,Hard,1723782794942
5e547fd4-f6ae-4300-ba06-c7ba503e4b28,Fighting,Easy,1728044547942
469351d9-f06f-43c5-a38e-bc2b04a97d6a,Strategy,Expert,1726938926942
f84c9971-f018-4808-a9be-d30cf2f03102,Puzzle,Expert,1731104852942
54de3ef8-6b9f-41f7-89bd-8e33a40ba69d,RPG,Medium,1719483489942
95433566-5d45-4faa-b62d-2f590f2a30dc,RPG,Expert,1724942795942
977aa769-8004-4cb1-ab1e-68e8ae15423a,RPG,Expert,1719376782942
06ffdad2-a6e6-47e1-8a73-715bd74e89e2,Simulation,Hard,1726094496942
44a420fd-2691-4fe3-95cc-108a0a039e22,Fighting,Expert,1726023804942
cc906b7e-1f9c-46a1-84d2-fbaedb61abc9,Strategy,Hard,1719510158942
b9fe5466-3cf5-4230-ad2a-b784cdc947bb,Puzzle,Hard,1719506285942
9f70497a-b9ea-4848-ac27-f61a5f3fcc6b,Adventure,Hard,1729039591942
186cd65e-12f9-4a5b-8008-a40ce091ec39,Adventure,Expert,1726821474942
55e9e11d-1fba-45c1-bee3-4024c734bf56,RPG,Expert,1719363904942
31effacc-f6be-4c96-ac95-dba5bf26b18a,Sports,Hard,1726766183942
9d77ede5-a39d-4d07-9c2f-0edf4482e78e,Simulation,Hard,1719835281942
5e4a57fd-857b-476e-9d22-fe5f5d712928,RPG,Medium,1723402402942
5bbbf4f7-b894-4dc3-8214-c2b2d7642f98,Platform,Expert,1718506547942
d55657ed-e06a-4839-993c-5e46d8902183,Adventure,Hard,1720626748942
a7bf44ad-3765-4fb6-8563-624fc6da42a5,Simulation,Expert,1731893587942
91491b15-8c66-499e-8382-e70bf2c4e003,Strategy,Medium,1722273486942
27b33657-85dc-4c36-afe5-1cf303193fae,Sports,Easy,1726533859942
49018be2-43ee-4a99-8094-2041695728f4,Puzzle,Easy,1718724806942
7787ae8d-9204-4e76-ba97-b00bd6d7d494,Platform,Hard,1730917350942
7f35e898-fc0c-48ef-a6ea-b99c756ec60c,Racing,Medium,1725771175942
7c495ee2-f347-4dc6-85cb-a5c0fd143dd6,Puzzle,Medium,1725957061942
